index,name
1,encephalon
2,gyrus_frontalis_L
3,gyrus_frontalis_R
4,gyrus_proreus_L
5,gyrus_proreus_R
6,gyrus_compositus_rostralis_L
7,gyrus_compositus_rostralis_R
8,gyrus_precruciatus_L
9,gyrus_precruciatus_R
10,gyrus_postcruciatus_L
11,gyrus_postcruciatus_R
12,gyrus_marginalis_L
13,gyrus_marginalis_R
14,gyrus_ectomarginalis_L
15,gyrus_ectomarginalis_R
16,gyrus_occipitalis_L
17,gyrus_occipitalis_R
18,gyrus_suprasylvius_rostralis_L
19,gyrus_suprasylvius_rostralis_R
20,gyrus_suprasylvius_medius_L
21,gyrus_suprasylvius_medius_R
22,gyrus_suprasylvius_caudalis_L
23,gyrus_suprasylvius_caudalis_R
24,gyrus_ectosylvius_rostralis_L
25,gyrus_ectosylvius_rostralis_R
26,gyrus_ectosylvius_medius_L
27,gyrus_ectosylvius_medius_R
28,gyrus_ectosylvius_caudalis_L
29,gyrus_ectosylvius_caudalis_R
30,gyrus_sylvius_rostralis_L
31,gyrus_sylvius_rostralis_R
32,gyrus_sylvius_caudalis_L
33,gyrus_sylvius_caudalis_R
34,gyrus_compositus_caudalis_L
35,gyrus_compositus_caudalis_R
36,gyrus_rectus_L
37,gyrus_rectus_R
38,gyrus_genualis_L
39,gyrus_genualis_R
40,area_subcallosa_L
41,area_subcallosa_R
42,gyrus_cinguli_L
43,gyrus_cinguli_R
44,gyrus_presplenialis_L
45,gyrus_presplenialis_R
46,gyrus_splenialis_L
47,gyrus_splenialis_R
48,gyrus_parahippocampalis_L
49,gyrus_parahippocampalis_R
50,hippocampus_L
51,hippocampus_R
52,lobus_piriformis_L
53,lobus_piriformis_R
54,tuberculum_olfactorium_L
55,tuberculum_olfactorium_R
56,gyrus_diagonalis_L
57,gyrus_diagonalis_R
58,gyrus_paraterminalis_L
59,gyrus_paraterminalis_R
60,gyrus_olfactorius_lateralis_L
61,gyrus_olfactorius_lateralis_R
62,thalamus_L
63,thalamus_R
64,bulbus_olfactorius_L
65,bulbus_olfactorius_R
66,nucleus_caudatus_L
67,nucleus_caudatus_R
68,insular_cortex_L
69,insular_cortex_R
70,hypophysis
71,vermis_cerebelli
72,pons
73,medulla_oblongata
74,medulla_spinalis
75,mesencephalon
76,diencephalon
77,nervus_opticus
78,hemispherium_cerebelli_L
79,hemispherium_cerebelli_R
80,commissura_rostralis
81,pedunculus_olfactorius_L
82,pedunculus_olfactorius_R
83,area_septalis_L
84,area_septalis_R
85,nucleus_et_tractus_spinalis_nervi_trigemini_L
86,nucleus_et_tractus_spinalis_nervi_trigemini_R
87,nucleus_ventralis_caudalis_thalami_pars_medialis_L
88,nucleus_ventralis_caudalis_thalami_pars_medialis_R
89,amygdala_L
90,amygdala_R
